Comment,Designator,Footprint,LCSC,Quantity
100nF,C7,C_0402_1005Metric,C1525,1
100pF,"C1,C3,C5",C_0402_1005Metric,C1546,3
IQS7211E001QNR,U1,UQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,C20179547,1
4.7k,"R1,R2,R3",R_0603_1608Metric,C23162,3
Conn_01x06,J1,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH15,C2856814,1
2.2uF,"C2,C4,C6",C_0402_1005Metric,C60078,3
